================ Training Loss (Fri Jul 28 23:57:34 2023) ================
================ Training Loss (Fri Jul 28 23:57:38 2023) ================
================ Training Loss (Fri Jul 28 23:57:44 2023) ================
================ Training Loss (Fri Jul 28 23:57:45 2023) ================
[epoch:1   , step:20925 ]coarse_loss: 0.014fine_loss: 0.986c_psnr: 18.702f_psnr: 21.169
[epoch:1   , step:21150 ]coarse_loss: 0.013fine_loss: 0.975c_psnr: 18.957f_psnr: 21.491
[epoch:1   , step:21375 ]coarse_loss: 0.014fine_loss: 0.992c_psnr: 18.662f_psnr: 21.218
[epoch:1   , step:21600 ]coarse_loss: 0.013fine_loss: 0.993c_psnr: 18.725f_psnr: 21.045
[epoch:1   , step:21825 ]coarse_loss: 0.013fine_loss: 0.975c_psnr: 19.017f_psnr: 21.681
[epoch:1   , step:22050 ]coarse_loss: 0.014fine_loss: 0.995c_psnr: 18.662f_psnr: 20.986
[epoch:1   , step:22275 ]coarse_loss: 0.013fine_loss: 0.983c_psnr: 18.735f_psnr: 21.330
[epoch:1   , step:22500 ]coarse_loss: 0.014fine_loss: 0.993c_psnr: 18.539f_psnr: 21.128
[epoch:1   , step:22725 ]coarse_loss: 0.013fine_loss: 0.974c_psnr: 18.866f_psnr: 21.745
[epoch:1   , step:22950 ]coarse_loss: 0.013fine_loss: 0.976c_psnr: 18.964f_psnr: 21.574
[epoch:1   , step:23175 ]coarse_loss: 0.013fine_loss: 0.992c_psnr: 18.811f_psnr: 21.320
[epoch:1   , step:23400 ]coarse_loss: 0.013fine_loss: 0.974c_psnr: 18.929f_psnr: 21.506
[epoch:1   , step:23625 ]coarse_loss: 0.013fine_loss: 0.980c_psnr: 18.967f_psnr: 21.434
[epoch:1   , step:23850 ]coarse_loss: 0.013fine_loss: 0.981c_psnr: 18.881f_psnr: 21.404
[epoch:1   , step:24075 ]coarse_loss: 0.013fine_loss: 0.961c_psnr: 18.951f_psnr: 21.755
[epoch:1   , step:24300 ]coarse_loss: 0.013fine_loss: 0.983c_psnr: 18.838f_psnr: 21.371
[epoch:1   , step:24525 ]coarse_loss: 0.014fine_loss: 1.010c_psnr: 18.511f_psnr: 20.702
[epoch:1   , step:24750 ]coarse_loss: 0.012fine_loss: 0.970c_psnr: 19.101f_psnr: 21.627
[epoch:1   , step:24975 ]coarse_loss: 0.014fine_loss: 1.014c_psnr: 18.621f_psnr: 20.734
[epoch:1   , step:25200 ]coarse_loss: 0.014fine_loss: 0.973c_psnr: 18.669f_psnr: 21.175
[epoch:1   , step:25425 ]coarse_loss: 0.013fine_loss: 0.995c_psnr: 18.714f_psnr: 20.986
[epoch:1   , step:25650 ]coarse_loss: 0.014fine_loss: 0.999c_psnr: 18.662f_psnr: 20.883
